"","key_resp.corr","Run","PartID","expName","modality","task"
"697",1,4,"f006","auditory","non-linguistic","TSL"
"698",1,4,"f006","auditory","non-linguistic","TSL"
"699",1,4,"f006","auditory","non-linguistic","TSL"
"700",1,4,"f006","auditory","non-linguistic","TSL"
"701",1,4,"f006","auditory","non-linguistic","TSL"
"702",0,4,"f006","auditory","non-linguistic","TSL"
"703",1,4,"f006","auditory","non-linguistic","TSL"
"704",0,4,"f006","auditory","non-linguistic","TSL"
"705",1,4,"f006","auditory","non-linguistic","TSL"
"706",0,4,"f006","auditory","non-linguistic","TSL"
"707",1,4,"f006","auditory","non-linguistic","TSL"
"708",1,4,"f006","auditory","non-linguistic","TSL"
"709",1,4,"f006","auditory","non-linguistic","TSL"
"710",1,4,"f006","auditory","non-linguistic","TSL"
"711",0,4,"f006","auditory","non-linguistic","TSL"
"712",0,4,"f006","auditory","non-linguistic","TSL"
